wss,USSDEM24,PREDEM24,PREREP24,USSREP24,PRETOT24,USSTOT24
1,45031,44907,68185,66384,113092,111415
10,42980,42445,65004,63162,107449,106142
11,37730,38004,68050,66233,106054,103963
12,40477,39415,72367,69297,111782,109774
13,34873,34089,65067,62530,99156,97403
14,53595,52772,51034,48720,103806,102315
15,50439,50041,42762,40540,92803,90979
16,72408,72481,39046,38402,111527,110810
17,53211,52032,50932,48409,102964,101620
18,48687,48872,40914,39144,89786,87831
19,41120,40980,70018,67873,110998,108993
2,38988,38648,68324,65813,106972,104801
20,34743,34826,72399,70951,107225,105694
21,49380,49544,48318,47175,97862,96555
22,47649,47602,40787,38624,88389,86273
23,32076,30757,66354,63422,97111,95498
24,44068,42924,56247,53461,99171,97529
25,47646,46989,62024,59210,109013,106856
26,93239,92952,16323,15493,109275,108732
27,91278,91641,27856,28379,119497,119657
28,43285,44168,69667,69200,113835,112485
29,41526,40794,60601,58326,101395,99852
3,38978,38625,21656,19303,60281,58281
30,45899,46056,42824,41239,88880,87138
31,52700,52444,50182,47890,102626,100590
32,52528,51954,49205,46869,101159,99397
33,39954,41048,83528,83638,124576,123592
4,66591,67188,12223,11498,79411,78089
5,56643,57411,50925,51198,108336,107841
6,66202,66922,11974,11298,78896,77500
7,66596,66129,36423,34540,102552,101136
8,60039,61384,58393,59290,119777,119329
9,41857,41832,57660,55685,99492,97542
